Date,Open,High,Low,Close/Last,Volume
12/4/2024,142.96,144.12,141.18,143.99,25942650
12/3/2024,142.58,143.4495,141.0801,141.98,22665350
12/2/2024,137.915,142.82,137.8,142.06,33102440
11/29/2024,136.24,138.5876,135.78,137.175,16085710
11/27/2024,137.2,137.94,132.96,136.24,30175290
11/26/2024,142.55,142.8,136.62,137.72,32092380
11/25/2024,140.49,142.35,139.05,141.13,30923110
11/22/2024,137.35,139.13,137.04,138.35,21784730
11/21/2024,138.87,140.2799,134.93,137.49,29311440
11/20/2024,138.96,140.77,135.48,137.6,28843070
11/19/2024,137.41,139.75,137.14,139.39,23131350
11/18/2024,138.185,140.9,137.21,138.93,38782430
11/15/2024,136.575,137.35,133.65,134.9,44217530
11/14/2024,140.34,141.4,138.56,138.84,31681410
11/13/2024,142.86,144.49,139.07,139.3,35146650
11/12/2024,147,147.45,141.5501,143.63,33560290
11/11/2024,147.38,148.57,144.91,147.35,29868130
11/8/2024,149.39,150.71,147.525,147.95,27560340
11/7/2024,146.68,150.12,145.66,149.82,30326430
11/6/2024,144.95,145.625,141.52,145.1,32911500
11/5/2024,141.94,143.08,140.8,141.66,27067330
11/4/2024,141.7,143.64,139.72,140.71,29117420
11/1/2024,144.44,144.54,141.32,141.86,39027430
10/31/2024,147.8,148.68,143.33,144.07,44386600
10/30/2024,153.01,153.12,148.1,148.6,87701670
10/29/2024,161.1,167.5099,158.94,166.25,71896040
10/28/2024,158.5,160.28,157.045,159.92,36010130
10/25/2024,155.4,158.91,155.05,156.23,29758490
10/24/2024,154.74,155.19,152.35,153.44,22877020
10/23/2024,153,153.445,150.52,152.91,26095930
10/22/2024,156.6,156.74,151.91,154.09,34997350
10/21/2024,155.76,158,154.15,157.9,25781210
10/18/2024,157.41,158.01,155.56,155.97,23822990
10/17/2024,160,160.44,156.2,156.25,29491850
10/16/2024,158.075,158.28,154.9159,156.13,30575770
10/15/2024,163.21,164.13,155.74,156.64,50768020
10/14/2024,167.77,168.9,165.15,165.27,31757210
10/11/2024,164.185,169.35,163.0101,167.89,42136180
10/10/2024,169.76,172.01,162,164.18,75113590
10/9/2024,174.05,174.05,169.55,171.02,33890740
10/8/2024,171.75,173.6,170,172.8,34730150
10/7/2024,171.08,172.41,168.21,170.97,38379930
10/4/2024,166.533,171.21,164.42,170.9,44640300
10/3/2024,159.71,166.7894,159.4,162.85,29598790
10/2/2024,159.31,163.1,158.6689,159.78,24630430
10/1/2024,164.48,165.4,158.08,159.75,31831860
9/30/2024,163.1,165.08,162.18,164.08,21920300
9/27/2024,167.48,168.7286,163.74,164.35,27876040
9/26/2024,167.055,168.68,164.05,167.49,38044920
9/25/2024,158.5,162.95,158.18,162.02,35233260
9/24/2024,157.46,159.64,154.58,158.32,27531200
9/23/2024,156.445,157.19,154.97,156.75,21728540
9/20/2024,156,157.45,152.47,155.95,40248200
9/19/2024,153.81,159.25,152.77,156.74,44499980
9/18/2024,150.9,152.82,148.01,148.29,26320080
9/17/2024,153.55,154.045,149.225,150.82,29888990
9/16/2024,151.7,154.44,150.912,152.08,27677760
9/13/2024,152.32,153.03,150.7,152.31,25117240
9/12/2024,148.43,151.54,147.65,150.77,29286170
9/11/2024,145.325,150.16,140.71,149.86,50935390
9/10/2024,139.06,143.08,137.25,142.84,37217530
9/9/2024,136.1,138.445,134.86,138.15,27194510
9/6/2024,138.7,139.13,132.1101,134.35,39993510
9/5/2024,138.2,141.71,137.83,139.44,25023020
9/4/2024,140.505,143.37,138.51,140.87,42130650
9/3/2024,146.41,146.49,136.1,136.94,42172670
8/30/2024,147.52,148.99,145.25,148.56,31169070
8/29/2024,146.59,149.49,144.47,145.49,31602110
8/28/2024,149.4,150.43,144.72,146.36,34075820
8/27/2024,150.13,151.7,148.44,150.5,35102650
8/26/2024,154.7,158.28,148.9101,149.99,49893260
8/23/2024,153.6,156.4,151.83,154.98,43694640
8/22/2024,158.87,159.84,151.01,151.7,45737260
8/21/2024,156.12,158.65,155.07,157.81,42791250
8/20/2024,156.49,162.04,154.51,156.4,76851160
8/19/2024,148.43,155.365,147.72,155.28,60766850
8/16/2024,145.7,149.3693,145.2,148.56,31123930
8/15/2024,143,147.96,141.81,147.36,43582390
8/14/2024,143,143.25,137.64,140.75,35506430
8/13/2024,138.12,141.19,137.52,141.13,42218020
8/12/2024,134.44,137.99,133.23,136.77,39724340
8/9/2024,134.69,135.5,132.44,134.27,40582990
8/8/2024,131.97,136.48,128.94,136.32,49037450
8/7/2024,133.75,136.24,128.37,128.67,54676490
8/6/2024,135.15,136.44,129.1,130.18,64455610
8/5/2024,122.16,139.14,121.825,134.82,76089360
8/2/2024,133.5,137.1,131.33,132.5,78562000
8/1/2024,145,147.29,130.24,132.54,94731930
7/31/2024,150.73,153.603,140.03,144.48,114306800
7/30/2024,139.88,141.7,134.05,138.44,68801710
7/29/2024,141.19,144.585,138.75,139.75,47447190
7/26/2024,140.32,141.29,138.27,139.99,49435830
7/25/2024,144.07,144.75,136.81,138.32,60578530
7/24/2024,152.72,153.68,144.53,144.63,49203120
7/23/2024,154.95,157.05,153.8,154,31950580
7/22/2024,154.23,156.7,152.545,155.87,43912460
7/19/2024,154.86,155.81,150.62,151.58,47513060
7/18/2024,163.41,163.41,153.2,155.77,69420340
7/17/2024,169.8,169.8,159.37,159.43,76954200
7/16/2024,179.69,179.75,174.53,177.55,40633060
7/15/2024,184.45,185.5,178.54,179.83,42202730
7/12/2024,182.015,186.99,179.69,181.61,50827370
7/11/2024,184.07,187.11,177.25,181.94,59231410
7/10/2024,179.99,187.28,177.8,183.96,90246970
7/9/2024,177.97,180.41,174.7,177.1,43471170
7/8/2024,174.9,178.95,173.22,178.69,60223420
7/5/2024,165.97,174.0396,165.68,171.9,61857050
7/3/2024,164.2,165.26,162.51,163.9,26980910
7/2/2024,157.04,164.58,156.7,164.31,57838610
7/1/2024,161.25,161.5068,153.64,157.69,50436690
6/28/2024,160.23,166.45,159.41,162.21,56204620
6/27/2024,157.18,160.61,156.81,159.47,34018220
6/26/2024,160.6,160.74,156,157.54,36973440
6/25/2024,160.73,161,156.45,160.25,40975280
6/24/2024,159.75,163.4,158.19,160.25,45954050
6/21/2024,161.75,163.2,157.89,161.23,61334700
6/20/2024,155.825,166.82,155.5,161.78,93245730
6/18/2024,156.99,157.24,153.34,154.63,51852030
6/17/2024,158,159.23,154.135,158.4,44507740
6/14/2024,158.5,161.3399,157.61,159.63,34054020
6/13/2024,160.4,162.66,157.31,159.9,44442510
6/12/2024,160.32,162.24,158.62,160.24,48325810
6/11/2024,160.5,161.54,156.92,158.96,40497090
6/10/2024,162.48,165.55,159.61,160.34,67575630
6/7/2024,166.59,169.45,165.86,167.87,44796000
6/6/2024,165.46,169.51,163.86,166.78,47153680
6/5/2024,162.07,167.12,161.38,166.17,60507490
6/4/2024,162.84,164.83,158.8729,159.99,48157210
6/3/2024,170.82,171.08,160.9101,163.55,59157590
5/31/2024,166.65,169.5,160.07,166.9,64331950
5/30/2024,167.9,168.7469,163.8,166.75,46479930
5/29/2024,167.46,168.48,162.91,165.14,56537500
5/28/2024,169.42,174.55,164.96,171.61,66495410
5/24/2024,161.412,167.66,160.25,166.36,54868650
5/23/2024,170.18,173.14,158.27,160.43,91888840
5/22/2024,167.41,169.8148,163.86,165.52,47426720
5/21/2024,164,165.83,163.1,164.66,30005480
5/20/2024,165.55,168.49,164.47,166.33,45618040
5/17/2024,168.43,169.72,162.32,164.47,65944360
5/16/2024,160.92,168.06,159.9,162.62,76726730
5/15/2024,155.588,159.69,154.7,159.67,43195900
5/14/2024,150.43,153.4879,148.78,153.16,31938280
5/13/2024,151.28,153.33,150.4,150.56,27859180
5/10/2024,154.287,156.37,151.31,151.92,37652770
5/9/2024,153.13,154.092,150.61,152.39,33017960
5/8/2024,153.4,155.33,152.52,153.62,28727960
5/7/2024,156.32,157.7,153.66,154.43,37374910
5/6/2024,153.1,156.65,151.26,155.78,44624550
5/3/2024,148.75,150.79,147.2384,150.6,49361080
5/2/2024,145.51,147.62,141.155,146.16,50034730
5/1/2024,148.11,151.37,142.14,144.27,89413170
4/30/2024,160.63,162.29,158.35,158.38,60742830
4/29/2024,159.08,160.77,156.26,160.2,43478220
4/26/2024,154.24,158.63,153.4252,157.4,42510710
4/25/2024,149.15,155.14,146.75,153.76,41471420
4/24/2024,156.56,157.6598,150.63,151.74,43412550
4/23/2024,151.65,153.495,150.35,152.27,46051910
4/22/2024,148.15,149.89,145.63,148.64,49397030
4/19/2024,151.59,154.25,145.29,146.64,71618200
4/18/2024,155.51,156.96,152.32,155.08,52669820
4/17/2024,163.97,164.45,153.88,154.02,75908970
4/16/2024,162.28,164.8799,161.67,163.46,55302100
4/15/2024,164.43,164.44,158.76,160.32,61461150
4/12/2024,164.53,165.7,161.825,163.28,63519640
4/11/2024,167.545,170.9499,166.5492,170.5,48994530
4/10/2024,166.71,169.7752,164,167.14,59599960
4/9/2024,170.21,171.6,167.29,170.78,42927990
4/8/2024,168.2,171.6599,166.82,169.9,43997550
4/5/2024,168.1,172.69,165.58,170.42,66080260
4/4/2024,182.92,183.02,165.65,165.83,88279960
4/3/2024,177.54,182.05,176.7,180.77,49835060
4/2/2024,179.47,180.1,174.83,178.7,61598820
4/1/2024,180.1,187.24,179.9,183.34,74299910
3/28/2024,179.47,183.4,178.3,180.49,57628610
3/27/2024,179.96,181.23,175.4,179.59,55685650
3/26/2024,179.54,182.5983,176.33,177.87,65322450
3/25/2024,172.9,182.8,172,178.63,71935310
3/22/2024,177.21,180.76,175.05,179.65,57899070
3/21/2024,185.97,187.69,177.66,178.68,75265600
3/20/2024,182.03,182.68,174,179.73,81773110
3/19/2024,183.16,185.6127,177.3602,181.42,83509460
3/18/2024,193.285,193.5,188.05,190.65,59306870
