Date,Open,High,Low,Close/Last,Volume
12/4/2024,433.03,439.67,432.63,437.42,26009430
12/3/2024,429.84,432.47,427.74,431.20,18301990
12/2/2024,421.57,433.00,421.31,430.98,20207220
11/29/2024,420.09,424.88,417.80,423.46,16271920
11/27/2024,425.11,427.23,422.02,422.99,18332440
11/26/2024,419.59,429.04,418.85,427.99,23458890
11/25/2024,418.38,421.08,414.85,418.79,27691090
11/22/2024,411.37,417.40,411.06,417.00,24814630
11/21/2024,419.50,419.78,410.29,412.87,20780160
11/20/2024,416.87,417.29,410.58,415.49,19191660
11/19/2024,413.11,417.94,411.55,417.79,18133530
11/18/2024,414.87,418.40,412.10,415.76,24742010
11/15/2024,419.82,422.80,413.64,415.00,28247640
11/14/2024,425.00,428.17,420.00,426.89,30246880
11/13/2024,421.64,429.33,418.21,425.20,21502190
11/12/2024,418.25,424.44,417.20,423.03,19401200
11/11/2024,422.52,424.81,416.00,418.01,24503320
11/8/2024,425.32,426.50,421.78,422.54,16891410
11/7/2024,421.28,426.85,419.88,425.43,19901780
11/6/2024,412.42,420.45,410.52,420.18,26681840
11/5/2024,408.37,414.90,408.08,411.46,17626010
11/4/2024,409.80,410.42,405.57,408.46,19672290
11/1/2024,409.01,415.50,407.50,410.37,24230440
10/31/2024,415.36,416.16,406.30,406.35,53970980
10/30/2024,437.44,438.50,432.10,432.53,29749150
10/29/2024,428.00,433.17,425.80,431.95,17644080
10/28/2024,431.66,431.94,426.30,426.59,14882440
10/25/2024,426.76,432.52,426.57,428.15,16899060
10/24/2024,425.33,425.98,422.40,424.73,13581630
10/23/2024,430.86,431.08,422.53,424.60,19654380
10/22/2024,418.49,430.58,418.04,427.51,25482200
10/21/2024,416.12,418.96,413.75,418.78,14206120
10/18/2024,417.14,419.65,416.26,418.16,17145320
10/17/2024,422.36,422.50,415.59,416.72,14820000
10/16/2024,415.17,416.36,410.48,416.12,15508930
10/15/2024,422.18,422.48,415.26,418.74,18900200
10/14/2024,417.77,424.04,417.52,419.14,16653090
10/11/2024,416.14,417.13,413.25,416.32,14144940
10/10/2024,415.23,417.35,413.15,415.84,13848380
10/9/2024,415.86,420.38,414.30,417.46,14974260
10/8/2024,410.90,415.66,408.17,414.71,19229260
10/7/2024,416.00,417.11,409.00,409.54,20919760
10/4/2024,418.24,419.75,414.97,416.06,19190910
10/3/2024,417.63,419.55,414.29,416.54,13686420
10/2/2024,422.58,422.82,416.71,417.13,16582260
10/1/2024,428.45,428.48,418.81,420.69,19092950
9/30/2024,428.21,430.42,425.37,430.30,16854610
9/27/2024,431.52,431.85,427.47,428.02,14896130
9/26/2024,435.09,435.30,429.13,431.31,14492040
9/25/2024,429.83,433.12,428.57,432.11,13396360
9/24/2024,433.00,433.35,426.10,429.17,17015750
9/23/2024,434.28,436.46,430.39,433.51,15128890
9/20/2024,437.22,439.24,434.22,435.27,55167110
9/19/2024,441.23,441.50,436.90,438.69,21706560
9/18/2024,435.00,436.03,430.41,430.81,18898040
9/17/2024,440.23,441.85,432.27,435.15,18874230
9/16/2024,430.60,433.53,428.22,431.34,13834700
9/13/2024,425.83,431.83,425.46,430.59,15874560
9/12/2024,423.31,427.37,419.75,427.00,17418760
9/11/2024,415.50,423.99,409.58,423.04,19266920
9/10/2024,408.20,416.33,407.70,414.20,19594290
9/9/2024,407.24,408.65,402.15,405.72,15295130
9/6/2024,409.06,410.65,400.80,401.70,19609530
9/5/2024,407.62,413.10,406.13,408.39,14195520
9/4/2024,405.91,411.24,404.37,408.90,15135810
9/3/2024,417.91,419.88,407.03,409.44,20313600
8/30/2024,415.60,417.49,412.13,417.14,24308320
8/29/2024,414.94,422.05,410.60,413.12,17045240
8/28/2024,414.88,415.00,407.31,410.60,14882660
8/27/2024,412.86,414.36,410.25,413.84,13492910
8/26/2024,416.37,417.28,411.34,413.49,13152830
8/23/2024,416.98,419.26,412.09,416.79,18493780
8/22/2024,424.36,426.79,414.61,415.55,19361900
8/21/2024,424.08,426.40,421.72,424.14,16067300
8/20/2024,421.70,425.86,421.64,424.80,16387580
